Spotify Ranking ,Artists,Name,Genre,Key,Tempo,Mode,Valence,Danceability,Acousticness,Liveness,Energy,Duration_ms,Speechiness
31,Tyga,Taste (feat. Offset),Hip Hop/ R&B,C,98,1,0.34,0.88,0.06,0.1,0.56,232959,0.06
32,Clean Bandit,Solo (feat. Demi Lovato),Dance/Electronic,B,105,0,0.57,0.74,0.88,0.35,0.64,222653,0.03
33,Post Malone,I Fall Apart,Hip Hop/ R&B,G#,144,0,0.29,0.56,0,0.2,0.54,223347,0.07
34,Dennis Lloyd,Nevermind,Dance/Electronic,D,100,1,0.08,0.59,0.18,0.42,0.69,156600,0.03
35,Luis Fonsi,Echame La Culpa,Latin,C,96,1,0.65,0.73,0.05,0.09,0.89,173720,0.08
36,benny blanco,Eastside (with Halsey & Khalid),Pop,F#,89,0,0.32,0.56,0.47,0.12,0.68,173800,0.24
37,Camila Cabello,Never Be the Same,Pop,C,130,1,0.24,0.64,0,0.14,0.71,226973,0.27
38,Selena Gomez,Wolves,Pop,B,125,0,0.31,0.72,0.56,0.18,0.81,197993,0.32
39,XXXTENTACION,Changes,Hip Hop/ R&B,B,65,1,0.52,0.67,0.09,0.1,0.31,121887,0.07
40,Dynoro,In My Mind,Dance/Electronic,F#,126,1,0.16,0.69,0.07,0.12,0.77,184560,0.04
41,Eminem,River (feat. Ed Sheeran),Pop,G#,90,0,0.66,0.75,0.02,0.07,0.75,221013,0.46
42,Daddy Yankee,Dura,Latin,C#,95,1,0.83,0.79,0.12,0.41,0.85,200480,0.09
43,Travis Scott,SICKO MODE,Hip Hop/ R&B,G#,155,1,0.45,0.83,0.02,0.12,0.73,312820,0.07
44,Imagine Dragons,Thunder,Alternative,C,168,1,0.29,0.61,0.16,0.15,0.82,187147,0.02
45,Reik,Me Niego,Latin,C,94,0,0.77,0.78,0.04,0.64,0.78,221653,0.09
46,Tiesto,Jackie Chan,Dance/Electronic,D,128,0,0.69,0.75,0.03,0.06,0.83,215760,0.04
47,Bruno Mars,Finesse (Remix) [feat. Cardi B],Hip Hop/ R&B,F,105,0,0.93,0.7,0.18,0.02,0.86,217289,0.07
48,Selena Gomez,Back To You - From 13 Reasons Why ? Season 2 Soundtrack,Pop,F#,102,1,0.51,0.6,0.14,0.12,0.72,207905,0.52
49,NF,Let You Down,Hip Hop/ R&B,F,148,0,0.468,0.656,0.298,0.173,0.72,212120,0.12
50,The Weeknd,Call Out My Name,Hip Hop/ R&B,C#,134,1,0.172,0.489,0.218,0.35,0.6,228373,0.04
